Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
16611*J,16611,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,"2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press. * Eckenwalder, J.E. 1977. North American Cottonwoods (Populus, Salicaceae) of Sections Abaso and Aigeiros. Journal of the Arnold Arboretum 58:193-208.",,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",,Tree,16611,08-15-1895,Seedling,"Populus monilifera, P. deltoides, P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,Canada,"Quebec, Chateauguay",,,,,,,,,,,August 1895 and September 1896,,55-NE,55,NE,42.2941909,-71.12464076,12/31/2017,Alive,,7/21/2015,68.6,C,,,,,,,,,,4.12,No
16611*K,16611,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,"2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press. * Eckenwalder, J.E. 1977. North American Cottonwoods (Populus, Salicaceae) of Sections Abaso and Aigeiros. Journal of the Arnold Arboretum 58:193-208.",,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",,Tree,16611,08-15-1895,Seedling,"Populus monilifera, P. deltoides, P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,Canada,"Quebec, Chateauguay",,,,,,,,,,,August 1895 and September 1896,,55-NE,55,NE,42.29404926,-71.12460511,12/31/2017,Alive,,7/21/2015,78.8,C,,,,,,,,,,4.12,No
16611*O,16611,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,"2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press. * Eckenwalder, J.E. 1977. North American Cottonwoods (Populus, Salicaceae) of Sections Abaso and Aigeiros. Journal of the Arnold Arboretum 58:193-208.",,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",,Tree,16611,08-15-1895,Seedling,"Populus monilifera, P. deltoides, P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,Canada,"Quebec, Chateauguay",,,,,,,,,,,August 1895 and September 1896,,55-NE,55,NE,42.29389083,-71.1246033,12/31/2017,Alive,,7/21/2015,84.6,C,,,,,,,,,,4.4,No
689-2010*A,689-2010,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,689-2010,11-18-2010,Existing plant,Acer saccharum,A. saccharum,,,Information insufficient to determine provenance,,,,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,62-NW,62,NW,42.2917509,-71.12781479,12/31/2017,Alive,,5/26/2015,73.5,C,,,,,,,,,,4.4,No
611-2010*A,611-2010,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak",Tree,611-2010,11-15-2010,Existing plant,Quercus alba,Q. alba,,,Information insufficient to determine provenance,,,,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,57-NE,57,NE,42.29281823,-71.12903099,12/31/2017,Alive,,7/8/2015,72.7,C,,,,,,,,,,4.4,No
22099*A,22099,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,"2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press. * Eckenwalder, J.E. 1977. North American Cottonwoods (Populus, Salicaceae) of Sections Abaso and Aigeiros. Journal of the Arnold Arboretum 58:193-208.",,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",,Tree,22099,07-01-1911,Seed,"Populus sp., P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Highland Park Herbarium, Rochester, NY, United States",,,,,,"Slavin, B. M.",16,,United States,"New York, Sodus Bay",,,,,,,,,,,,,55-NE,55,NE,42.29378479,-71.124621,12/31/2017,Alive,,7/21/2015,55.7,C,,,,,,,,,"Eckenwalder, J. E., 01 Jan 1989, Populus deltoides ssp. deltoides, 3",4.4,No
12651*I,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,57-NE,57,NE,42.2931417,-71.12879258,12/31/2017,Alive,,7/8/2015,59.2,C,,,,,,,,,,4.3,No
17538*A,17538,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,17538,09-15-1906,Seed,"Tilia michauxii, Tilia neglecta",T. americana,,,Collected directly from the wild; origin known,S,X,SA,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,Canada,"Quebec, Terrebonne County",,Sainte Therese,,,,,,,,,,,53-SE,53,SE,42.29325928,-71.12871082,12/31/2017,Alive,,7/23/2015,80.1,C,,,,,,,,,,4.1,No
1104-81*A,1104-81,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Withe-rod,Shrub,1104-81,04-13-1982,Cutting,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,V,X,VA,"Mr. Gary L. Koller, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Koller, G. L.",,07-18-1981,United States,Massachusetts,,"along shoreline of Mary Dunn Pond, near Hyannis",,,,,,edge of woodland,,,,"Leucothoe racemosa, Nemopanthus mucronatus, Pinus rigida, Quercus sp., Vaccinium corymbosum",50-NE,50,NE,42.295173,-71.12621128,10/20/2015,Good,,,,,,,,,,,,,,4.13,No
386-71*B,386-71,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"2009. Flora of North America. Magnoliophyta: Paeoniaceae to Ericaceae. http://www.efloras.org/volume_page.aspx?volume_id=1008&amp;flora_id=1 Oxford University Press. * Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,386-71,02-16-1971,Seed,"Vaccinium angustifolium nigrum, Vaccinium corymbosum",Vacc. corymbosum,,,From a cultivated plant of known (indirect) wild origin,XX,X,SA,"Montreal Botanical Garden, Montreal, Quebec, Canada",,,,,,,,07-01-1969,Canada,Quebec,,,,,,,,,,,Collected in natural local plantings.,,5-SW,5,SW,42.30571912,-71.12155379,9/19/2019,Good,,10/23/2008,,,,,1.98,M,,,,,"Michener, D., 01 Jan 1988, Vaccinium corymbosum, 3",1.3,No
529-2009*A,529-2009,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"2009. Flora of North America. Magnoliophyta: Paeoniaceae to Ericaceae. http://www.efloras.org/volume_page.aspx?volume_id=1008&amp;flora_id=1 Oxford University Press. * Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,529-2009,09-09-2009,Existing plant,Vaccinium corymbosum,Vacc. corymbosum,,,Information insufficient to determine provenance,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30327357,-71.1211043,9/17/2019,Good,,,,,,,,,,,,,,1.15,No
530-2009*A,530-2009,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"2009. Flora of North America. Magnoliophyta: Paeoniaceae to Ericaceae. http://www.efloras.org/volume_page.aspx?volume_id=1008&amp;flora_id=1 Oxford University Press. * Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,530-2009,09-09-2009,Existing plant,Vaccinium corymbosum,Vacc. corymbosum,,,Information insufficient to determine provenance,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30325355,-71.12108527,9/17/2019,Good,,,,,,,,,,,,,,1.15,No
285-2007*E,285-2007,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"2009. Flora of North America. Magnoliophyta: Paeoniaceae to Ericaceae. http://www.efloras.org/volume_page.aspx?volume_id=1008&amp;flora_id=1 Oxford University Press. * Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,285-2007,05-15-2007,Plant,Vaccinium corymbosum,Vacc. corymbosum,,,Collected directly from the wild; origin known,,,,"New England Wetland Plants, Inc., Amherst, MA, United States",,,,,,,,,United States,"Massachusetts, Amherst",,,,,,,,,,,,,8-NW,8,NW,42.30474282,-71.12165296,9/23/2019,Good,,9/23/2019,,,,,1.1,M,,,,,,1.3,No
657-2008*A,657-2008,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"2009. Flora of North America. Magnoliophyta: Paeoniaceae to Ericaceae. http://www.efloras.org/volume_page.aspx?volume_id=1008&amp;flora_id=1 Oxford University Press. * Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,657-2008,10-30-2008,Existing plant,Vaccinium corymbosum,Vacc. corymbosum,,,Information insufficient to determine provenance,XX,X,U,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,15-SE,15,SE,42.30216796,-71.12054823,8/6/2018,Good,,8/6/2018,,,,,4.5,M,C,5.5,M,C,,1.11,No
593-2008*B,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",0,0,518,M,5?° E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30185115,-71.1249796,9/11/2019,Good,,10/5/2017,,,,,1,M,C,,,,,2.9,No
593-2008*A,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",0,0,518,M,5?° E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30184831,-71.12501015,9/11/2019,Good,,10/5/2017,,,,,1.7,M,C,,,,,2.9,No
593-2008*C,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",0,0,518,M,5?° E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30182962,-71.12498215,9/11/2019,Good,,10/5/2017,,,,,1.1,M,C,,,,,2.9,No
593-2008*D,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",0,0,518,M,5?° E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30183491,-71.1249499,9/11/2019,Good,,10/5/2017,,,,,1.1,M,C,,,,,2.9,No
22947*C,22947,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,22947,07-01-1951,Unknown propagule type,Hamamelis virginiana,Ham. virg.,,,Information insufficient to determine provenance,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,25-SW,25,SW,42.29994906,-71.12512975,10/17/2017,Good,,10/17/2017,5.4,C,largest stem,,,,,,,,,2.7,No
493-2009*A,493-2009,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,493-2009,08-10-2009,Existing plant,Hamamelis virginiana,Ham. virg.,,,Information insufficient to determine provenance,,X,U,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,25-SW,25,SW,42.29979127,-71.12506756,10/17/2017,Good,,10/17/2017,7.6,C,largest stem,,,,,,,,,2.7,No
22947*B,22947,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,22947,07-01-1951,Unknown propagule type,Hamamelis virginiana,Ham. virg.,,,Information insufficient to determine provenance,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,25-SW,25,SW,42.30000187,-71.1252044,10/17/2017,Good,,10/17/2017,8.2,C,largest stem,,,,,,,,,2.7,No
14693*A,14693,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,14693,09-20-1883,Plant,"Hamamelis virginica, Hamamelis virginiana",Ham. virg.,,,Collected directly from the wild; origin known,S,X,I,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Massachusetts, Lenox",,,,,,,,,,,,,32-SW,32,SW,42.29867372,-71.12325239,10/18/2017,Good,,10/18/2017,7.4,C,largest stem,,3.2,M,C,,,,"Wood, Jordan T., 17 Oct 2014, Hamamelis virginiana, 2",2.7,No
14693*B,14693,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,14693,09-20-1883,Plant,"Hamamelis virginica, Hamamelis virginiana",Ham. virg.,,,Collected directly from the wild; origin known,S,X,I,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Massachusetts, Lenox",,,,,,,,,,,,,32-SW,32,SW,42.29865474,-71.12323151,10/18/2017,Good,,10/18/2017,9.2,C,largest stem,,4.2,M,C,,,,"Wood, Jordan T., 28 Oct 2014, Hamamelis virginiana, 2",2.7,No
14585*B,14585,Fagaceae,Fagus,grandifolia,,Fagus grandifolia,Accepted name,"Kruessmann, G. 1985. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. II. Portland, OR: Timber Press. 445 pp.",,,American Beech,Tree,14585,10-15-1885,Plant,"Fagus ferruginea, F. atropunicea, F. americana",Fagus grandif.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,10-01-1885,United States,"Massachusetts, Jamaica Plain",,Bussey Woods,,,,,,,,,,,37-NW,37,NW,42.29840632,-71.12299131,4/13/2018,Alive,,10/19/2017,87.9,C,,,,,,,,,,2.6,No
22798*A,22798,Fagaceae,Fagus,grandifolia,,Fagus grandifolia,Accepted name,"Kruessmann, G. 1985. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. II. Portland, OR: Timber Press. 445 pp.",,,American Beech,Tree,22798,07-01-1948,Existing plant,"Fagus sp., F. grandifolia",Fagus grandif.,,,Information insufficient to determine provenance,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,37-NW,37,NW,42.29846024,-71.12307393,4/15/2018,Alive,,10/19/2017,73.9,C,,,,,,,,,"Motoharu Okamoto, 01 Jan 1987, Fagus grandifolia, 3; Shen, Chung-Fu, 01 Jan 1991, Fagus grandifolia ssp. grandifolia, 2; Shen, Chung-Fu, 01 Jan 1991, Fagus grandifolia var. caroliniana, 2",2.6,No
