"genus","species","id","year","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop"
"Acer","rubrum",166763,2018,NA,272,NA,NA,NA,293,251,NA,NA,NA,NA,NA,272,293
"Acer","rubrum",166763,2019,103,269,97,115,115,269,115,97,NA,144,144,115,269,269
"Acer","rubrum",166763,2020,112,220,75,120,124,226,124,75,92,148,148,120,220,226
"Acer","rubrum",166763,2021,101,NA,86,104,114,NA,114,86,NA,NA,NA,104,NA,NA
"Acer","rubrum",166764,2018,NA,263,NA,NA,NA,287,263,NA,NA,NA,NA,NA,263,287
"Acer","rubrum",166764,2019,103,239,95,NA,111,278,111,96,96,NA,NA,NA,239,278
"Acer","rubrum",166764,2020,112,257,80,NA,119,257,119,80,92,NA,NA,NA,257,257
"Acer","rubrum",166764,2021,108,NA,86,NA,114,NA,114,86,93,NA,NA,NA,NA,NA
"Acer","rubrum",166765,2018,NA,259,NA,NA,NA,293,259,NA,NA,NA,NA,NA,259,293
"Acer","rubrum",166765,2019,91,239,86,NA,115,263,111,89,96,NA,NA,NA,239,263
"Acer","rubrum",166765,2020,105,220,71,NA,120,257,120,72,75,NA,NA,NA,220,257
"Acer","rubrum",166765,2021,101,NA,81,NA,114,NA,114,84,86,NA,NA,NA,NA,NA
"Acer","rubrum",166766,2018,NA,287,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,287,NA
"Acer","rubrum",166766,2019,107,286,92,NA,111,293,111,92,NA,NA,NA,NA,286,293
"Acer","rubrum",166766,2020,111,258,71,NA,126,271,120,75,NA,NA,NA,NA,258,271
"Acer","rubrum",166767,2018,NA,263,NA,NA,NA,293,263,NA,NA,NA,NA,NA,263,293
"Acer","rubrum",166767,2019,106,269,92,117,115,286,115,96,NA,160,152,117,269,286
"Acer","rubrum",166767,2020,120,258,71,124,126,271,120,75,NA,NA,NA,124,258,271
"Acer","rubrum",166767,2021,NA,NA,93,109,122,NA,122,93,NA,NA,NA,109,NA,NA
"Acer","saccharum",92203,2015,NA,280,NA,NA,NA,287,218,NA,NA,NA,NA,NA,280,287
"Acer","saccharum",92203,2016,130,288,NA,NA,133,315,133,NA,NA,NA,NA,NA,288,315
"Acer","saccharum",92203,2017,127,294,NA,NA,131,294,131,NA,NA,NA,NA,NA,294,294
"Acer","saccharum",92203,2018,119,285,NA,NA,130,292,127,NA,NA,NA,NA,NA,285,292
"Acer","saccharum",92203,2019,120,260,141,NA,126,278,126,NA,NA,NA,NA,NA,260,278
"Acer","saccharum",92203,2020,120,253,NA,NA,133,271,133,NA,NA,NA,NA,NA,253,271
"Acer","saccharum",92203,2021,109,NA,121,134,126,NA,126,121,NA,NA,NA,134,NA,NA
"Acer","saccharum",92204,2015,NA,280,NA,NA,NA,280,148,NA,NA,NA,NA,NA,280,280
"Acer","saccharum",92204,2016,109,293,105,125,113,315,112,110,112,182,262,125,293,315
"Acer","saccharum",92204,2017,101,253,105,121,110,253,108,108,113,181,202,121,253,253
"Acer","saccharum",92204,2018,118,285,119,264,125,285,125,NA,NA,NA,293,264,285,285
"Acer","saccharum",92204,2019,106,141,107,126,111,278,111,111,114,257,195,126,141,278
"Acer","saccharum",92204,2020,122,291,108,162,126,291,121,NA,NA,NA,NA,162,291,291
"Acer","saccharum",92204,2021,101,NA,91,121,104,NA,103,101,109,NA,NA,121,NA,NA
"Acer","saccharum",92206,2015,NA,280,NA,NA,NA,280,148,NA,NA,NA,NA,NA,280,280
"Acer","saccharum",92206,2016,109,293,108,127,118,NA,117,111,112,NA,262,127,293,NA
"Acer","saccharum",92206,2017,101,252,105,127,113,259,107,113,NA,172,202,127,252,259
"Acer","saccharum",92206,2018,119,287,NA,NA,NA,293,132,NA,NA,NA,NA,NA,287,293
"Acer","saccharum",92206,2019,109,263,NA,NA,115,263,111,NA,NA,255,263,NA,263,263
"Acer","saccharum",92206,2020,85,290,NA,NA,126,290,124,NA,NA,NA,NA,NA,290,290
"Acer","saccharum",92208,2015,NA,280,NA,NA,NA,280,204,NA,NA,NA,NA,NA,280,280
"Acer","saccharum",92208,2016,115,286,118,152,130,NA,130,127,NA,NA,NA,152,286,NA
"Acer","saccharum",92208,2017,101,288,108,127,113,288,107,118,119,259,202,127,288,288
"Acer","saccharum",92208,2018,119,272,NA,NA,NA,276,132,NA,NA,NA,NA,NA,272,276
"Acer","saccharum",92208,2019,109,269,NA,NA,120,269,120,NA,NA,NA,NA,NA,269,269
"Acer","saccharum",92208,2020,121,278,126,NA,126,290,124,NA,NA,NA,NA,NA,278,290
"Acer","saccharum",92209,2015,NA,279,NA,NA,NA,NA,248,NA,NA,279,NA,NA,279,NA
"Acer","saccharum",92209,2016,109,148,110,NA,124,249,116,NA,NA,NA,NA,NA,148,249
"Acer","saccharum",92209,2017,102,254,104,125,114,254,108,105,109,176,149,125,254,254
"Acer","saccharum",92209,2018,121,269,NA,NA,124,292,122,NA,146,NA,NA,NA,269,292
"Acer","saccharum",92209,2019,140,285,NA,NA,115,285,115,NA,NA,233,NA,NA,285,285
"Acer","saccharum",92209,2020,112,260,112,NA,123,261,119,120,NA,NA,NA,NA,260,261
"Acer","saccharum",92209,2021,99,NA,96,118,101,NA,101,99,NA,NA,NA,118,NA,NA
"Aesculus","flava",85751,2015,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA
"Aesculus","flava",85751,2016,105,274,110,156,113,282,108,130,NA,274,274,156,274,282
"Aesculus","flava",85751,2017,108,256,119,162,110,256,108,127,NA,NA,NA,162,256,256
"Aesculus","flava",85751,2018,117,199,117,151,117,NA,117,131,NA,NA,NA,151,199,NA
"Aesculus","flava",85751,2019,NA,163,111,237,111,243,111,128,NA,255,255,237,163,243
"Aesculus","flava",85751,2020,101,197,108,147,112,206,112,140,NA,263,263,147,197,206
"Aesculus","flava",85751,2021,NA,NA,73,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA
"Aesculus","flava",85755,2015,NA,255,NA,NA,NA,266,165,NA,NA,266,NA,NA,255,266
"Aesculus","flava",85755,2016,111,260,113,156,112,282,112,130,NA,260,262,156,260,282
"Aesculus","flava",85755,2017,108,224,108,162,110,NA,108,127,NA,NA,NA,162,224,NA
"Aesculus","flava",85755,2018,114,159,117,145,117,272,117,133,NA,263,263,145,159,272
"Aesculus","flava",85755,2019,NA,272,107,227,107,272,115,131,NA,209,NA,227,272,272
"Aesculus","flava",85755,2020,NA,250,120,203,112,250,112,NA,NA,250,213,203,250,250
"Aesculus","flava",85756,2015,NA,255,NA,230,NA,255,165,NA,NA,266,255,230,255,255
"Aesculus","flava",85756,2016,110,262,112,156,112,279,112,130,NA,225,262,156,262,279
"Aesculus","flava",85756,2017,108,272,108,162,110,272,108,127,NA,272,NA,162,272,272
"Aesculus","flava",85756,2018,114,195,117,145,117,263,117,131,NA,263,263,145,195,263
"Aesculus","flava",85756,2019,NA,255,107,180,107,272,124,131,NA,237,237,180,255,272
"Aesculus","flava",85756,2020,NA,189,120,156,112,213,112,NA,NA,189,213,156,189,213
"Aesculus","flava",85757,2015,NA,248,NA,NA,NA,248,144,NA,NA,279,279,NA,248,248
"Aesculus","flava",85757,2016,114,148,114,153,119,220,116,133,NA,248,NA,153,148,220
"Aesculus","flava",85757,2017,104,247,134,141,109,256,109,134,NA,241,254,141,247,256
"Aesculus","flava",85757,2018,116,251,117,144,121,260,117,131,NA,251,251,144,251,260
"Aesculus","flava",85757,2019,104,257,115,152,109,257,109,129,NA,248,209,152,257,257
"Aesculus","flava",85757,2020,119,190,120,155,120,207,120,135,NA,220,187,155,190,207
"Aesculus","flava",85757,2021,110,NA,110,NA,110,NA,110,NA,NA,NA,NA,NA,NA,NA
"Aesculus","flava",85758,2015,NA,218,NA,147,NA,240,147,NA,NA,255,255,147,218,240
"Aesculus","flava",85758,2016,110,252,112,144,112,266,112,130,NA,274,260,144,252,266
"Aesculus","flava",85758,2017,101,280,108,136,108,280,108,119,NA,280,NA,136,280,280
"Aesculus","flava",85758,2018,112,178,116,137,117,192,116,125,NA,259,259,137,178,192
"Aesculus","flava",85758,2019,107,185,107,142,107,243,107,124,NA,255,255,142,185,243
"Aesculus","flava",85758,2020,105,168,108,147,111,206,111,126,NA,213,213,147,168,206
"Aesculus","flava",85758,2021,98,NA,98,134,98,NA,98,119,NA,NA,NA,134,NA,NA
"Betula","alleghaniensis",85759,2015,138,250,150,177,NA,250,138,NA,NA,270,240,177,250,250
"Betula","alleghaniensis",85759,2016,109,278,104,207,116,281,114,114,114,234,229,207,278,281
"Betula","alleghaniensis",85759,2017,102,242,118,139,117,242,112,118,119,NA,242,139,242,242
"Betula","alleghaniensis",85759,2018,118,256,111,144,124,256,122,124,125,278,236,144,256,256
"Betula","alleghaniensis",85759,2019,107,230,109,142,114,249,114,124,NA,249,208,142,230,249
"Betula","alleghaniensis",85759,2020,110,226,119,160,126,226,126,119,119,257,226,160,226,226
"Betula","alleghaniensis",85759,2021,108,NA,100,NA,114,NA,114,109,109,NA,NA,NA,NA,NA
"Betula","alleghaniensis",85761,2015,142,249,150,202,NA,270,138,158,NA,NA,243,202,249,270
"Betula","alleghaniensis",85761,2016,112,271,101,200,119,284,114,114,124,NA,229,200,271,284
"Betula","alleghaniensis",85761,2017,102,242,118,149,119,242,118,118,117,NA,251,149,242,242
"Betula","alleghaniensis",85761,2018,114,266,112,140,123,277,123,123,130,277,231,140,266,277
"Betula","alleghaniensis",85761,2019,107,246,110,157,115,264,115,115,117,265,212,157,246,264
"Betula","alleghaniensis",85761,2020,112,258,85,164,126,271,126,126,NA,271,243,164,258,271
"Betula","alleghaniensis",85762,2015,138,250,150,177,NA,250,138,164,NA,262,240,177,250,250
"Betula","alleghaniensis",85762,2016,102,260,104,168,116,276,114,111,114,293,229,168,260,276
"Betula","alleghaniensis",85762,2017,102,242,105,149,117,242,105,112,117,NA,251,149,242,242
"Betula","alleghaniensis",85762,2018,114,272,111,144,123,277,122,122,125,278,251,144,272,277
"Betula","alleghaniensis",85762,2019,107,249,109,159,115,261,110,111,117,249,160,159,249,261
"Betula","alleghaniensis",85762,2020,108,226,85,160,126,271,126,126,NA,271,220,160,226,271
"Betula","alleghaniensis",85763,2015,138,282,167,194,NA,258,138,167,NA,289,262,194,282,258
"Betula","alleghaniensis",85763,2016,110,281,104,207,121,289,114,114,115,NA,229,207,281,289
"Betula","alleghaniensis",85763,2017,102,251,120,139,117,288,117,120,133,NA,NA,139,251,288
"Betula","alleghaniensis",85763,2018,118,277,111,144,125,277,122,122,130,274,210,144,277,277
"Betula","alleghaniensis",85763,2019,112,265,109,258,115,265,115,NA,NA,286,258,258,265,265
"Betula","alleghaniensis",85763,2020,120,271,91,160,126,271,126,NA,NA,NA,NA,160,271,271
"Betula","alleghaniensis",85764,2015,138,247,138,173,138,250,138,138,NA,262,228,173,247,250
"Betula","alleghaniensis",85764,2016,102,260,104,59,116,260,114,114,112,281,59,59,260,260
"Betula","alleghaniensis",85764,2017,102,218,108,144,117,209,117,108,110,NA,152,144,218,209
"Betula","alleghaniensis",85764,2018,114,264,118,144,123,277,121,122,NA,299,236,144,264,277
"Betula","alleghaniensis",85764,2019,102,230,109,135,114,230,110,117,111,244,230,135,230,230
"Betula","alleghaniensis",85764,2020,105,220,120,75,120,229,119,120,NA,NA,75,75,220,229
"Betula","nigra",86258,2015,138,202,172,NA,NA,282,138,NA,NA,NA,NA,NA,202,282
"Betula","nigra",86258,2016,114,281,104,165,132,281,132,120,NA,NA,NA,165,281,281
"Betula","nigra",86258,2017,100,235,112,127,119,241,118,118,117,162,162,127,235,241
"Betula","nigra",86258,2018,122,278,111,144,125,278,125,125,130,NA,156,144,278,278
"Betula","nigra",86258,2019,112,249,111,155,124,249,123,125,NA,NA,NA,155,249,249
"Betula","nigra",86258,2020,126,271,85,160,133,271,128,128,133,NA,NA,160,271,271
"Betula","nigra",86259,2015,138,218,150,NA,NA,258,138,NA,NA,164,NA,NA,218,258
"Betula","nigra",86259,2016,111,210,111,161,130,260,127,114,114,165,165,161,210,260
"Betula","nigra",86259,2017,100,202,112,131,117,202,108,117,117,162,162,131,202,202
"Betula","nigra",86259,2018,114,243,112,151,125,243,122,124,125,162,156,151,243,243
"Betula","nigra",86259,2019,107,173,114,150,122,191,115,111,124,160,160,150,173,191
"Betula","nigra",86259,2020,119,178,120,155,133,178,128,126,133,167,167,155,178,178
"Betula","nigra",86260,2015,142,218,150,NA,NA,240,138,158,NA,158,NA,NA,218,240
"Betula","nigra",86260,2016,111,246,114,147,130,241,125,111,120,161,161,147,246,241
"Betula","nigra",86260,2017,101,209,109,131,117,209,117,114,117,158,153,131,209,209
"Betula","nigra",86260,2018,118,250,112,124,124,250,122,122,125,156,156,124,250,250
"Betula","nigra",86260,2019,107,191,107,124,122,173,116,114,124,159,159,124,191,173
"Betula","nigra",86260,2020,126,178,120,147,133,178,133,126,133,164,160,147,178,178
"Betula","nigra",86260,2021,114,NA,114,134,122,NA,122,116,116,NA,NA,134,NA,NA
"Betula","nigra",86261,2015,139,250,150,NA,NA,270,138,158,NA,NA,NA,NA,250,270
"Betula","nigra",86261,2016,114,279,115,147,130,289,130,132,132,NA,NA,147,279,289
"Betula","nigra",86261,2017,100,250,118,139,120,247,118,118,117,162,162,139,250,247
"Betula","nigra",86261,2018,122,256,112,144,123,256,122,122,130,162,156,144,256,256
"Betula","nigra",86261,2019,111,216,107,144,115,216,115,125,NA,178,NA,144,216,216
"Betula","nigra",86261,2020,126,258,120,140,133,271,128,126,133,167,167,140,258,271
"Betula","nigra",87754,2015,138,202,150,NA,NA,202,138,158,NA,164,NA,NA,202,202
"Betula","nigra",87754,2016,112,281,104,162,130,284,130,120,NA,165,165,162,281,284
"Betula","nigra",87754,2017,101,230,125,149,120,241,118,125,117,162,162,149,230,241
"Betula","nigra",87754,2018,122,251,122,144,125,256,122,125,130,162,162,144,251,256
"Betula","nigra",87754,2019,110,237,112,157,124,239,123,126,NA,NA,160,157,237,239
"Betula","nigra",87754,2020,126,226,120,160,133,271,126,126,NA,NA,NA,160,226,271
"Carya","glabra",86262,2015,NA,NA,NA,161,NA,NA,161,NA,NA,NA,NA,161,NA,NA
"Carya","glabra",86262,2016,130,285,143,150,143,NA,143,142,149,NA,236,150,285,NA
"Carya","glabra",86262,2017,118,251,126,172,126,253,120,134,253,284,253,172,251,253
"Carya","glabra",86262,2018,123,249,126,153,138,256,126,144,NA,288,279,153,249,256
"Carya","glabra",86262,2019,111,261,124,151,115,264,115,151,NA,264,264,151,261,264
"Carya","glabra",86262,2020,119,262,136,168,141,259,136,149,NA,220,220,168,262,259
"Carya","glabra",86262,2021,124,NA,131,NA,136,NA,136,NA,NA,NA,NA,NA,NA,NA
"Carya","glabra",86263,2015,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
"Carya","glabra",86263,2016,118,273,122,150,122,273,118,130,NA,NA,NA,150,273,273
"Carya","glabra",86263,2017,110,253,118,166,124,253,118,124,126,253,253,166,253,253
"Carya","glabra",86263,2018,118,258,122,153,122,258,122,NA,NA,242,242,153,258,258
"Carya","glabra",86263,2019,108,253,128,145,115,264,111,NA,NA,264,NA,145,253,264
"Carya","glabra",86263,2020,119,259,127,168,127,259,127,141,NA,224,262,168,259,259
"Carya","glabra",86263,2021,113,NA,131,NA,120,NA,115,131,136,NA,NA,NA,NA,NA
"Carya","glabra",86264,2015,NA,NA,NA,161,NA,NA,150,NA,NA,NA,NA,161,NA,NA
"Carya","glabra",86264,2016,110,273,NA,166,122,NA,118,NA,NA,NA,NA,166,273,NA
"Carya","glabra",86264,2017,100,253,134,172,117,253,114,134,134,266,266,172,253,253
"Carya","glabra",86264,2018,119,249,NA,153,122,256,122,NA,NA,249,249,153,249,256
"Carya","glabra",86264,2019,108,251,132,155,111,264,111,NA,NA,264,NA,155,251,264
"Carya","glabra",86264,2020,119,262,NA,220,127,NA,127,NA,NA,220,NA,220,262,NA
"Carya","glabra",86264,2021,110,NA,NA,NA,115,NA,113,NA,NA,NA,NA,NA,NA,NA
"Carya","glabra",86265,2015,NA,NA,NA,161,NA,NA,148,NA,NA,NA,NA,161,NA,NA
"Carya","glabra",86265,2016,122,285,130,150,125,285,122,150,149,NA,NA,150,285,285
"Carya","glabra",86265,2017,100,253,118,166,124,253,118,134,NA,253,253,166,253,253
"Carya","glabra",86265,2018,118,258,131,153,131,263,123,144,146,242,242,153,258,263
"Carya","glabra",86265,2019,96,260,128,155,115,264,115,NA,NA,264,NA,155,260,264
"Carya","glabra",86265,2020,119,251,127,168,127,259,127,144,156,224,224,168,251,259
"Carya","glabra",86265,2021,118,NA,126,NA,126,NA,123,131,NA,NA,NA,NA,NA,NA
"Carya","glabra",86266,2015,NA,NA,NA,148,NA,NA,148,NA,NA,NA,NA,148,NA,NA
"Carya","glabra",86266,2016,118,285,118,150,124,285,122,130,144,230,230,150,285,285
"Carya","glabra",86266,2017,100,253,117,147,117,253,117,126,NA,253,253,147,253,253
"Carya","glabra",86266,2018,118,258,122,153,122,263,122,NA,NA,242,242,153,258,263
"Carya","glabra",86266,2019,96,251,115,145,115,264,111,128,NA,264,NA,145,251,264
"Carya","glabra",86266,2020,119,260,126,156,125,273,126,134,NA,215,215,156,260,273
"Carya","glabra",86266,2021,113,NA,116,NA,120,NA,113,131,NA,NA,NA,NA,NA,NA
"Carya","ovata",86268,2015,NA,NA,NA,161,NA,NA,148,NA,NA,NA,NA,161,NA,NA
"Carya","ovata",86268,2016,130,284,142,150,132,295,131,150,149,264,NA,150,284,295
"Carya","ovata",86268,2017,105,264,118,172,118,253,118,125,133,242,242,172,264,253
"Carya","ovata",86268,2018,118,272,125,158,125,279,125,131,NA,249,256,158,272,279
"Carya","ovata",86268,2019,110,249,124,183,124,264,121,133,144,264,305,183,249,264
"Carya","ovata",86268,2020,119,276,140,169,134,NA,134,140,NA,220,220,169,276,NA
"Carya","ovata",86269,2015,NA,NA,NA,226,NA,NA,148,NA,NA,NA,NA,226,NA,NA
"Carya","ovata",86269,2016,130,284,143,185,143,295,132,142,149,NA,NA,185,284,295
"Carya","ovata",86269,2017,105,264,118,172,118,253,118,125,133,242,242,172,264,253
"Carya","ovata",86269,2018,118,272,125,158,125,272,125,131,NA,249,251,158,272,272
"Carya","ovata",86269,2019,108,248,124,160,124,264,124,133,NA,249,239,160,248,264
"Carya","ovata",86269,2020,119,276,141,168,134,NA,134,146,NA,220,220,168,276,NA
"Carya","ovata",86270,2015,NA,NA,NA,169,NA,NA,148,NA,NA,NA,NA,169,NA,NA
"Carya","ovata",86270,2016,110,278,127,150,132,289,127,142,144,273,NA,150,278,289
"Carya","ovata",86270,2017,105,253,117,165,117,253,117,125,133,242,242,165,253,253
"Carya","ovata",86270,2018,118,272,125,229,125,279,125,131,NA,249,249,229,272,279
"Carya","ovata",86270,2019,108,260,119,151,124,264,119,125,NA,260,297,151,260,264
"Carya","ovata",86270,2020,119,262,129,170,140,273,129,140,NA,259,220,170,262,273
"Carya","ovata",86270,2021,115,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA
"Carya","ovata",86271,2015,NA,NA,NA,161,NA,NA,148,NA,NA,NA,NA,161,NA,NA
"Carya","ovata",86271,2016,130,278,143,200,142,284,132,149,NA,273,NA,200,278,284
"Carya","ovata",86271,2017,105,260,118,172,118,253,118,125,133,242,242,172,260,253
"Carya","ovata",86271,2018,118,256,125,158,125,256,125,131,NA,249,251,158,256,256
"Carya","ovata",86271,2019,108,249,119,160,124,264,124,133,152,260,208,160,249,264
