"phase","id","pheno_indiv_obs#","Common_Name"
"budburst",85751,37,"yellow buckeye"
"budburst",85755,42,"yellow buckeye"
"budburst",85756,35,"yellow buckeye"
"budburst",85757,61,"yellow buckeye"
"budburst",85758,72,"yellow buckeye"
"budburst",85759,180,"yellow birch"
"budburst",85761,111,"yellow birch"
"budburst",85762,145,"yellow birch"
"budburst",85763,124,"yellow birch"
"budburst",85764,199,"yellow birch"
"budburst",86258,117,"river birch"
"budburst",86259,253,"river birch"
"budburst",86260,282,"river birch"
"budburst",86261,111,"river birch"
"budburst",86262,45,"pignut hickory"
"budburst",86263,59,"pignut hickory"
"budburst",86264,61,"pignut hickory"
"budburst",86265,69,"pignut hickory"
"budburst",86266,93,"pignut hickory"
"budburst",86268,86,"shagbark hickory"
"budburst",86269,84,"shagbark hickory"
"budburst",86270,120,"shagbark hickory"
"budburst",86271,93,"shagbark hickory"
"budburst",86272,106,"shagbark hickory"
"budburst",86273,29,"American beech"
"budburst",86274,57,"American beech"
"budburst",86275,70,"American beech"
"budburst",86276,46,"American beech"
"budburst",86277,27,"American beech"
"budburst",86278,59,"eastern cottonwood"
"budburst",86279,50,"eastern cottonwood"
"budburst",86280,52,"eastern cottonwood"
"budburst",86281,49,"eastern cottonwood"
"budburst",86282,84,"eastern cottonwood"
"budburst",86285,27,"northern red oak"
"budburst",86286,27,"northern red oak"
"budburst",86287,24,"northern red oak"
"budburst",86288,26,"northern red oak"
"budburst",86289,125,"American basswood"
"budburst",86290,56,"American basswood"
"budburst",87754,169,"river birch"
"budburst",87756,59,"white oak"
"budburst",87757,96,"American basswood"
"budburst",87758,25,"white oak"
"budburst",87759,18,"white oak"
"budburst",87760,22,"northern red oak"
"budburst",87761,43,"white oak"
"budburst",87762,94,"American basswood"
"budburst",87763,68,"American basswood"
"budburst",88311,24,"white oak"
"budburst",92203,76,"sugar maple"
"budburst",92204,106,"sugar maple"
"budburst",92206,56,"sugar maple"
"budburst",92208,65,"sugar maple"
"budburst",92209,63,"sugar maple"
"budburst",135343,12,"American beech"
"budburst",135911,14,"American beech"
"budburst",166763,42,"red maple"
"budburst",166764,41,"red maple"
"budburst",166765,55,"red maple"
"budburst",166766,26,"red maple"
"budburst",166767,22,"red maple"
"budburst",166768,39,"highbush blueberry"
"budburst",166769,42,"highbush blueberry"
"budburst",166773,22,"highbush blueberry"
"budburst",166774,24,"highbush blueberry"
"budburst",166775,43,"highbush blueberry"
"budburst",166776,48,"American witchhazel"
"budburst",166777,54,"American witchhazel"
"budburst",166778,49,"American witchhazel"
"budburst",166779,58,"American witchhazel"
"budburst",166780,51,"American witchhazel"
"budburst",169165,60,"possumhaw"
"budburst",169166,61,"possumhaw"
"budburst",169167,62,"possumhaw"
"budburst",169168,61,"possumhaw"
"budburst",169171,45,"possumhaw"
"Colored leaves",85751,91,"yellow buckeye"
"Colored leaves",85755,64,"yellow buckeye"
"Colored leaves",85756,67,"yellow buckeye"
"Colored leaves",85757,130,"yellow buckeye"
"Colored leaves",85758,146,"yellow buckeye"
"Colored leaves",85759,163,"yellow birch"
"Colored leaves",85761,114,"yellow birch"
"Colored leaves",85762,141,"yellow birch"
"Colored leaves",85763,93,"yellow birch"
"Colored leaves",85764,174,"yellow birch"
"Colored leaves",86258,133,"river birch"
"Colored leaves",86259,302,"river birch"
"Colored leaves",86260,304,"river birch"
"Colored leaves",86261,157,"river birch"
"Colored leaves",86262,60,"pignut hickory"
"Colored leaves",86263,66,"pignut hickory"
"Colored leaves",86264,57,"pignut hickory"
"Colored leaves",86265,71,"pignut hickory"
"Colored leaves",86266,71,"pignut hickory"
"Colored leaves",86268,86,"shagbark hickory"
"Colored leaves",86269,84,"shagbark hickory"
"Colored leaves",86270,86,"shagbark hickory"
"Colored leaves",86271,108,"shagbark hickory"
"Colored leaves",86272,99,"shagbark hickory"
"Colored leaves",86273,10,"American beech"
"Colored leaves",86274,72,"American beech"
"Colored leaves",86275,47,"American beech"
"Colored leaves",86276,55,"American beech"
"Colored leaves",86277,6,"American beech"
"Colored leaves",86278,92,"eastern cottonwood"
"Colored leaves",86279,106,"eastern cottonwood"
"Colored leaves",86280,112,"eastern cottonwood"
"Colored leaves",86281,115,"eastern cottonwood"
"Colored leaves",86282,128,"eastern cottonwood"
"Colored leaves",86285,70,"northern red oak"
"Colored leaves",86286,62,"northern red oak"
"Colored leaves",86287,53,"northern red oak"
"Colored leaves",86288,64,"northern red oak"
"Colored leaves",86289,92,"American basswood"
"Colored leaves",86290,124,"American basswood"
"Colored leaves",87754,183,"river birch"
"Colored leaves",87756,97,"white oak"
"Colored leaves",87757,83,"American basswood"
"Colored leaves",87758,67,"white oak"
"Colored leaves",87759,53,"white oak"
"Colored leaves",87760,50,"northern red oak"
"Colored leaves",87761,79,"white oak"
"Colored leaves",87762,119,"American basswood"
"Colored leaves",87763,113,"American basswood"
"Colored leaves",88311,51,"white oak"
"Colored leaves",92203,97,"sugar maple"
"Colored leaves",92204,103,"sugar maple"
"Colored leaves",92206,71,"sugar maple"
"Colored leaves",92208,59,"sugar maple"
"Colored leaves",92209,122,"sugar maple"
"Colored leaves",135343,18,"American beech"
"Colored leaves",135911,34,"American beech"
"Colored leaves",166763,51,"red maple"
"Colored leaves",166764,46,"red maple"
"Colored leaves",166765,65,"red maple"
"Colored leaves",166766,33,"red maple"
"Colored leaves",166767,40,"red maple"
"Colored leaves",166768,55,"highbush blueberry"
"Colored leaves",166769,45,"highbush blueberry"
"Colored leaves",166773,43,"highbush blueberry"
"Colored leaves",166774,38,"highbush blueberry"
"Colored leaves",166775,66,"highbush blueberry"
"Colored leaves",166776,51,"American witchhazel"
"Colored leaves",166777,54,"American witchhazel"
"Colored leaves",166778,48,"American witchhazel"
"Colored leaves",166779,59,"American witchhazel"
"Colored leaves",166780,54,"American witchhazel"
"Colored leaves",169165,83,"possumhaw"
"Colored leaves",169166,89,"possumhaw"
"Colored leaves",169167,69,"possumhaw"
"Colored leaves",169168,75,"possumhaw"
"Colored leaves",169171,46,"possumhaw"
"flowers",85751,90,"yellow buckeye"
"flowers",85755,79,"yellow buckeye"
"flowers",85756,83,"yellow buckeye"
"flowers",85757,107,"yellow buckeye"
"flowers",85758,141,"yellow buckeye"
"flowers",85759,233,"yellow birch"
"flowers",85761,156,"yellow birch"
"flowers",85762,230,"yellow birch"
"flowers",85763,172,"yellow birch"
"flowers",85764,215,"yellow birch"
"flowers",86258,153,"river birch"
"flowers",86259,206,"river birch"
"flowers",86260,260,"river birch"
"flowers",86261,149,"river birch"
"flowers",86262,37,"pignut hickory"
"flowers",86263,52,"pignut hickory"
"flowers",86264,17,"pignut hickory"
"flowers",86265,60,"pignut hickory"
"flowers",86266,84,"pignut hickory"
"flowers",86268,77,"shagbark hickory"
"flowers",86269,67,"shagbark hickory"
"flowers",86270,105,"shagbark hickory"
"flowers",86271,75,"shagbark hickory"
"flowers",86272,103,"shagbark hickory"
"flowers",86273,23,"American beech"
"flowers",86274,37,"American beech"
"flowers",86275,45,"American beech"
"flowers",86276,19,"American beech"
"flowers",86277,21,"American beech"
"flowers",86278,78,"eastern cottonwood"
"flowers",86279,70,"eastern cottonwood"
"flowers",86280,69,"eastern cottonwood"
"flowers",86281,74,"eastern cottonwood"
"flowers",86282,84,"eastern cottonwood"
"flowers",86285,35,"northern red oak"
"flowers",86286,25,"northern red oak"
"flowers",86287,24,"northern red oak"
"flowers",86288,22,"northern red oak"
"flowers",86289,140,"American basswood"
"flowers",86290,84,"American basswood"
"flowers",87754,131,"river birch"
"flowers",87756,21,"white oak"
"flowers",87757,78,"American basswood"
"flowers",87758,43,"white oak"
"flowers",87759,24,"white oak"
"flowers",87760,24,"northern red oak"
"flowers",87761,18,"white oak"
"flowers",87762,88,"American basswood"
"flowers",87763,75,"American basswood"
"flowers",88311,24,"white oak"
"flowers",92203,11,"sugar maple"
"flowers",92204,117,"sugar maple"
"flowers",92206,40,"sugar maple"
"flowers",92208,39,"sugar maple"
"flowers",92209,43,"sugar maple"
"flowers",135343,17,"American beech"
"flowers",135911,12,"American beech"
"flowers",166763,49,"red maple"
"flowers",166764,33,"red maple"
"flowers",166765,50,"red maple"
"flowers",166766,22,"red maple"
"flowers",166767,21,"red maple"
"flowers",166768,56,"highbush blueberry"
"flowers",166769,43,"highbush blueberry"
"flowers",166773,31,"highbush blueberry"
"flowers",166774,37,"highbush blueberry"
"flowers",166775,66,"highbush blueberry"
"flowers",166776,76,"American witchhazel"
"flowers",166777,79,"American witchhazel"
"flowers",166778,80,"American witchhazel"
"flowers",166779,69,"American witchhazel"
"flowers",166780,69,"American witchhazel"
"flowers",169165,71,"possumhaw"
"flowers",169166,68,"possumhaw"
"flowers",169167,77,"possumhaw"
"flowers",169168,89,"possumhaw"
"flowers",169171,125,"possumhaw"
"Fruits",85751,82,"yellow buckeye"
"Fruits",85755,70,"yellow buckeye"
"Fruits",85756,89,"yellow buckeye"
"Fruits",85757,145,"yellow buckeye"
"Fruits",85758,195,"yellow buckeye"
"Fruits",85759,349,"yellow birch"
"Fruits",85761,211,"yellow birch"
"Fruits",85762,291,"yellow birch"
"Fruits",85763,188,"yellow birch"
"Fruits",85764,311,"yellow birch"
"Fruits",86258,60,"river birch"
"Fruits",86259,101,"river birch"
"Fruits",86260,148,"river birch"
"Fruits",86261,89,"river birch"
"Fruits",86262,124,"pignut hickory"
"Fruits",86263,135,"pignut hickory"
"Fruits",86264,100,"pignut hickory"
"Fruits",86265,160,"pignut hickory"
"Fruits",86266,188,"pignut hickory"
"Fruits",86268,186,"shagbark hickory"
"Fruits",86269,183,"shagbark hickory"
"Fruits",86270,192,"shagbark hickory"
"Fruits",86271,196,"shagbark hickory"
"Fruits",86272,252,"shagbark hickory"
"Fruits",86273,21,"American beech"
"Fruits",86274,107,"American beech"
"Fruits",86275,96,"American beech"
"Fruits",86276,45,"American beech"
"Fruits",86277,31,"American beech"
"Fruits",86278,96,"eastern cottonwood"
"Fruits",86279,87,"eastern cottonwood"
"Fruits",86280,103,"eastern cottonwood"
"Fruits",86281,108,"eastern cottonwood"
"Fruits",86282,5,"eastern cottonwood"
"Fruits",86285,68,"northern red oak"
"Fruits",86286,39,"northern red oak"
"Fruits",86287,40,"northern red oak"
"Fruits",86288,25,"northern red oak"
"Fruits",86289,181,"American basswood"
"Fruits",86290,165,"American basswood"
"Fruits",87754,63,"river birch"
"Fruits",87756,29,"white oak"
"Fruits",87757,122,"American basswood"
"Fruits",87758,64,"white oak"
"Fruits",87759,35,"white oak"
"Fruits",87760,16,"northern red oak"
"Fruits",87761,19,"white oak"
"Fruits",87762,174,"American basswood"
"Fruits",87763,128,"American basswood"
"Fruits",88311,35,"white oak"
"Fruits",92203,3,"sugar maple"
"Fruits",92204,252,"sugar maple"
"Fruits",92206,59,"sugar maple"
"Fruits",92208,47,"sugar maple"
"Fruits",92209,85,"sugar maple"
"Fruits",135343,35,"American beech"
"Fruits",135911,47,"American beech"
"Fruits",166763,69,"red maple"
"Fruits",166764,2,"red maple"
"Fruits",166765,1,"red maple"
"Fruits",166766,4,"red maple"
"Fruits",166767,28,"red maple"
"Fruits",166768,55,"highbush blueberry"
"Fruits",166769,38,"highbush blueberry"
"Fruits",166773,28,"highbush blueberry"
"Fruits",166774,27,"highbush blueberry"
"Fruits",166775,54,"highbush blueberry"
"Fruits",166776,75,"American witchhazel"
"Fruits",166777,70,"American witchhazel"
"Fruits",166778,67,"American witchhazel"
"Fruits",166779,88,"American witchhazel"
"Fruits",166780,90,"American witchhazel"
"Fruits",169165,113,"possumhaw"
"Fruits",169166,107,"possumhaw"
"Fruits",169167,105,"possumhaw"
"Fruits",169168,124,"possumhaw"
"Fruits",169171,64,"possumhaw"
"Increasing leaf size",85751,68,"yellow buckeye"
"Increasing leaf size",85755,77,"yellow buckeye"
"Increasing leaf size",85756,80,"yellow buckeye"
"Increasing leaf size",85757,126,"yellow buckeye"
"Increasing leaf size",85758,118,"yellow buckeye"
"Increasing leaf size",85759,148,"yellow birch"
"Increasing leaf size",85761,120,"yellow birch"
"Increasing leaf size",85762,135,"yellow birch"
"Increasing leaf size",85763,118,"yellow birch"
"Increasing leaf size",85764,137,"yellow birch"
"Increasing leaf size",86258,110,"river birch"
"Increasing leaf size",86259,153,"river birch"
"Increasing leaf size",86260,181,"river birch"
"Increasing leaf size",86261,122,"river birch"
"Increasing leaf size",86262,48,"pignut hickory"
"Increasing leaf size",86263,79,"pignut hickory"
"Increasing leaf size",86264,67,"pignut hickory"
"Increasing leaf size",86265,73,"pignut hickory"
"Increasing leaf size",86266,104,"pignut hickory"
"Increasing leaf size",86268,93,"shagbark hickory"
"Increasing leaf size",86269,90,"shagbark hickory"
"Increasing leaf size",86270,106,"shagbark hickory"
"Increasing leaf size",86271,96,"shagbark hickory"
"Increasing leaf size",86272,100,"shagbark hickory"
"Increasing leaf size",86273,23,"American beech"
"Increasing leaf size",86274,69,"American beech"
"Increasing leaf size",86275,69,"American beech"
"Increasing leaf size",86276,66,"American beech"
"Increasing leaf size",86277,20,"American beech"
"Increasing leaf size",86278,106,"eastern cottonwood"
"Increasing leaf size",86279,96,"eastern cottonwood"
"Increasing leaf size",86280,93,"eastern cottonwood"
"Increasing leaf size",86281,94,"eastern cottonwood"
"Increasing leaf size",86282,101,"eastern cottonwood"
"Increasing leaf size",86285,39,"northern red oak"
"Increasing leaf size",86286,31,"northern red oak"
"Increasing leaf size",86287,33,"northern red oak"
"Increasing leaf size",86288,28,"northern red oak"
"Increasing leaf size",86289,135,"American basswood"
"Increasing leaf size",86290,67,"American basswood"
"Increasing leaf size",87754,128,"river birch"
"Increasing leaf size",87756,106,"white oak"
"Increasing leaf size",87757,119,"American basswood"
"Increasing leaf size",87758,50,"white oak"
"Increasing leaf size",87759,21,"white oak"
"Increasing leaf size",87760,31,"northern red oak"
"Increasing leaf size",87761,59,"white oak"
"Increasing leaf size",87762,79,"American basswood"
"Increasing leaf size",87763,80,"American basswood"
"Increasing leaf size",88311,22,"white oak"
"Increasing leaf size",92203,89,"sugar maple"
"Increasing leaf size",92204,134,"sugar maple"
"Increasing leaf size",92206,79,"sugar maple"
"Increasing leaf size",92208,75,"sugar maple"
"Increasing leaf size",92209,106,"sugar maple"
"Increasing leaf size",135343,23,"American beech"
"Increasing leaf size",135911,27,"American beech"
"Increasing leaf size",166763,54,"red maple"
"Increasing leaf size",166764,53,"red maple"
"Increasing leaf size",166765,44,"red maple"
"Increasing leaf size",166766,34,"red maple"
"Increasing leaf size",166767,34,"red maple"
"Increasing leaf size",166768,45,"highbush blueberry"
"Increasing leaf size",166769,44,"highbush blueberry"
"Increasing leaf size",166773,17,"highbush blueberry"
"Increasing leaf size",166774,21,"highbush blueberry"
"Increasing leaf size",166775,51,"highbush blueberry"
"Increasing leaf size",166776,43,"American witchhazel"
"Increasing leaf size",166777,46,"American witchhazel"
"Increasing leaf size",166778,42,"American witchhazel"
"Increasing leaf size",166779,42,"American witchhazel"
"Increasing leaf size",166780,43,"American witchhazel"
"Increasing leaf size",169165,65,"possumhaw"
"Increasing leaf size",169166,63,"possumhaw"
"Increasing leaf size",169167,71,"possumhaw"
"Increasing leaf size",169168,68,"possumhaw"
"Increasing leaf size",169171,50,"possumhaw"
"leaf drop",85751,71,"yellow buckeye"
"leaf drop",85755,42,"yellow buckeye"
"leaf drop",85756,55,"yellow buckeye"
"leaf drop",85757,108,"yellow buckeye"
"leaf drop",85758,112,"yellow buckeye"
"leaf drop",85759,148,"yellow birch"
"leaf drop",85761,92,"yellow birch"
"leaf drop",85762,122,"yellow birch"
"leaf drop",85763,87,"yellow birch"
"leaf drop",85764,158,"yellow birch"
"leaf drop",86258,117,"river birch"
"leaf drop",86259,269,"river birch"
"leaf drop",86260,273,"river birch"
"leaf drop",86261,142,"river birch"
"leaf drop",86262,34,"pignut hickory"
"leaf drop",86263,41,"pignut hickory"
"leaf drop",86264,37,"pignut hickory"
"leaf drop",86265,42,"pignut hickory"
"leaf drop",86266,44,"pignut hickory"
"leaf drop",86268,64,"shagbark hickory"
"leaf drop",86269,56,"shagbark hickory"
"leaf drop",86270,60,"shagbark hickory"
"leaf drop",86271,76,"shagbark hickory"
"leaf drop",86272,69,"shagbark hickory"
"leaf drop",86273,10,"American beech"
"leaf drop",86274,69,"American beech"
"leaf drop",86275,46,"American beech"
"leaf drop",86276,51,"American beech"
"leaf drop",86278,100,"eastern cottonwood"
"leaf drop",86279,113,"eastern cottonwood"
"leaf drop",86280,111,"eastern cottonwood"
"leaf drop",86281,116,"eastern cottonwood"
"leaf drop",86282,127,"eastern cottonwood"
"leaf drop",86285,51,"northern red oak"
"leaf drop",86286,46,"northern red oak"
"leaf drop",86287,43,"northern red oak"
"leaf drop",86288,39,"northern red oak"
