Common_Name,tree_id,route,Plant_ID,Species_Nickname,Phenophase_Status,Latitude,Longitude,DBH(cm),indiv_obs#,spp_obs#,Scientific_Names
yellow birch,85759,Birch Route,12843*A,Tree 6,1,42.3020682,-71.12386246,73.8,2165,9015,Betula alleghaniensis
yellow birch,85761,Birch Route,12843*D,Tree 7,1,42.30204101,-71.12388059,70.9,1448,9015,Betula alleghaniensis
yellow birch,85762,Birch Route,12843*E,Tree 9,1,42.30194578,-71.12374252,56.2,1910,9015,Betula alleghaniensis
yellow birch,85763,Birch Route,12843*H,Tree 8,1,42.30199149,-71.12371027,64.6,1419,9015,Betula alleghaniensis
yellow birch,85764,Birch Route,629-83*D,Tree 10,1,42.30183747,-71.12308955,36.5,2073,9015,Betula alleghaniensis
river birch,86258,Birch Route,1199*D,Tree 5,1,42.30215088,-71.12401559,68,1214,8558,Betula nigra
river birch,86259,Birch Route,1251-79*A,Tree 3,1,42.30223154,-71.12410601,78,2122,8558,Betula nigra
river birch,86260,Birch Route,1251-79*B,Tree 2,1,42.30228781,-71.12445659,70.8,2459,8558,Betula nigra
river birch,86261,Birch Route,1199*J,Tree 1,1,42.30252077,-71.12397574,87.5,1357,8558,Betula nigra
river birch,87754,Birch Route,1251-79*E,Tree 4,1,42.3022236,-71.12398789,70,1406,8558,Betula nigra
yellow buckeye,85757,Peters Hill Route,12651*I,Tree 9,1,42.2931417,-71.12879258,59.2,1261,4753,Aesculus flava
eastern cottonwood,86278,Peters Hill Route,16611*F,Tree 2,1,42.29432229,-71.12466088,91.4,1023,4934,Populus deltoides
eastern cottonwood,86279,Peters Hill Route,16611*J,Tree 3,1,42.2941909,-71.12464076,68.6,941,4934,Populus deltoides
eastern cottonwood,86280,Peters Hill Route,16611*K,Tree 4,1,42.29404926,-71.12460511,78.8,976,4934,Populus deltoides
eastern cottonwood,86281,Peters Hill Route,16611*O,Tree 5,1,42.29389083,-71.1246033,84.6,1026,4934,Populus deltoides
eastern cottonwood,86282,Peters Hill Route,22099*A,Tree 6,1,42.29378479,-71.124621,55.7,968,4934,Populus deltoides
American basswood,86289,Peters Hill Route,1323-82*A,Tree 1,1,42.29514117,-71.12601307,83.6,1500,6068,Tilia americana
white oak,87756,Peters Hill Route,611-2010*A,Tree 8,1,42.29281823,-71.12903099,72.7,866,2842,Quercus alba
American basswood,87757,Peters Hill Route,17538*A,Tree 10,1,42.29325928,-71.12871082,80.1,1159,6068,Tilia americana
sugar maple,92209,Peters Hill Route,689-2010*A,Tree 7,1,42.2917509,-71.12781479,73.5,1067,4643,Acer saccharum
possumhaw,169171,Peters Hill Route,1104-81*A,Tree 11,1,42.295173,-71.12621128,NA,656,3743,Viburnum nudum
yellow buckeye,85751,Linden and North Woods Route,12651*C,Tree 7,1,42.30355576,-71.1212595,35.3,758,4753,Aesculus flava
yellow buckeye,85755,Linden and North Woods Route,12651*D,Tree 6,1,42.30351523,-71.12133382,60.2,675,4753,Aesculus flava
yellow buckeye,85756,Linden and North Woods Route,12651*H,Tree 5,1,42.3035604,-71.12143904,49.1,742,4753,Aesculus flava
yellow buckeye,85758,Linden and North Woods Route,925-79*B,Tree 4,1,42.30391297,-71.12232333,44.5,1317,4753,Aesculus flava
American basswood,86290,Linden and North Woods Route,19804*A,Tree 2,1,42.30440147,-71.12199832,80.5,1134,6068,Tilia americana
American basswood,87762,Linden and North Woods Route,7141*A,Tree 3,1,42.30415322,-71.12252621,58.9,1245,6068,Tilia americana
American basswood,87763,Linden and North Woods Route,17527*D,Tree 1,1,42.3051232,-71.12189286,68.1,1030,6068,Tilia americana
American beech,86274,Beech Route,14585*D,Tree 2,1,42.29833046,-71.12294749,88.7,796,3000,Fagus grandifolia
American beech,86276,Beech Route,14585*G,Tree 4,1,42.2983337,-71.12265119,71.2,549,3000,Fagus grandifolia
American beech,135343,Beech Route,14585*B,Tree 1,1,42.29840632,-71.12299131,87.9,230,3000,Fagus grandifolia
American beech,135911,Beech Route,22798*A,Tree 0,1,42.29846024,-71.12307393,73.9,305,3000,Fagus grandifolia
pignut hickory,86262,Hickory Route,20095*A,Tree 6,1,42.30107199,-71.12629543,67.4,641,4050,Carya glabra
pignut hickory,86263,Hickory Route,20098*A,Tree 8,1,42.29994157,-71.1258635,60.3,817,4050,Carya glabra
pignut hickory,86264,Hickory Route,6990*A,Tree 7,1,42.30020379,-71.12586584,43.1,617,4050,Carya glabra
pignut hickory,86265,Hickory Route,2019*S,Tree 9,1,42.29994973,-71.12573747,64.5,894,4050,Carya glabra
pignut hickory,86266,Hickory Route,2019*R,Tree 10,1,42.2999657,-71.12566127,45.5,1081,4050,Carya glabra
shagbark hickory,86268,Hickory Route,12907*B,Tree 3,1,42.30172976,-71.12580046,54.2,1152,6157,Carya ovata
shagbark hickory,86269,Hickory Route,12907*D,Tree 4,1,42.30168924,-71.12587438,49.7,1100,6157,Carya ovata
shagbark hickory,86270,Hickory Route,12907*G,Tree 2,1,42.30181554,-71.1256858,57.7,1277,6157,Carya ovata
shagbark hickory,86271,Hickory Route,12907*I,Tree 1,1,42.30185516,-71.12559225,49.1,1227,6157,Carya ovata
shagbark hickory,86272,Hickory Route,12907*N,Tree 5,1,42.30163563,-71.12561522,58.8,1401,6157,Carya ovata
northern red oak,86285,Oak Route,16882*B,Tree 5,1,42.29961037,-71.12377523,61.6,609,2410,Quercus rubra
northern red oak,86286,Oak Route,11253*A,Tree 1,1,42.30002036,-71.12432118,69.5,510,2410,Quercus rubra
northern red oak,86287,Oak Route,5859*B,Tree 4,1,42.29996131,-71.12363106,92.6,444,2410,Quercus rubra
northern red oak,86288,Oak Route,8197*A,Tree 2,1,42.2999685,-71.12424385,66.2,465,2410,Quercus rubra
white oak,87758,Oak Route,21815*E,Tree 9,1,42.29918666,-71.12348625,73.3,614,2842,Quercus alba
white oak,87759,Oak Route,227-2011*A,Tree 7,1,42.29933201,-71.12435358,66.1,375,2842,Quercus alba
northern red oak,87760,Oak Route,5859*A,Tree 3,1,42.29994632,-71.12375725,80.7,382,2410,Quercus rubra
white oak,87761,Oak Route,358-82*A,Tree 8,1,42.29920928,-71.12373613,38.4,604,2842,Quercus alba
white oak,88311,Oak Route,22886*D,Tree 6,1,42.29940788,-71.12438014,87.2,383,2842,Quercus alba
sugar maple,92203,Maple Route,187-2006*B,Tree 1,1,42.30431226,-71.12006593,21.9,737,4643,Acer saccharum
sugar maple,92204,Maple Route,22834*B,Tree 2,1,42.3040241,-71.12065871,81.9,1522,4643,Acer saccharum
sugar maple,92206,Maple Route,20645*A,Tree 3,1,42.30370116,-71.12007443,85.7,684,4643,Acer saccharum
sugar maple,92208,Maple Route,12565*C,Tree 4,1,42.30346585,-71.12008242,97.6,633,4643,Acer saccharum
red maple,166763,Maple Route,1196-84*A,Tree 5,1,42.30388171,-71.12019927,27.3,552,2020,Acer rubrum
red maple,166764,Maple Route,567-2008*B,Tree 6,1,42.30387168,-71.12031406,8.6,405,2020,Acer rubrum
red maple,166765,Maple Route,15350*A,Tree 7,1,42.30387457,-71.12074952,77.5,466,2020,Acer rubrum
red maple,166766,Maple Route,525-2009*A,Tree 8,1,42.30320004,-71.12119722,55.7,278,2020,Acer rubrum
red maple,166767,Maple Route,524-2009*A,Tree 9,1,42.30316247,-71.12125376,64.2,319,2020,Acer rubrum
highbush blueberry,166768,Shrub Route,386-71*B,Tree 1,1,42.30571912,-71.12155379,NA,492,1994,Vaccinium corymbosum
highbush blueberry,166769,Shrub Route,285-2007*E,Tree 2,1,42.30474282,-71.12165296,NA,398,1994,Vaccinium corymbosum
highbush blueberry,166773,Shrub Route,529-2009*A,Tree 3,1,42.30327357,-71.1211043,NA,279,1994,Vaccinium corymbosum
highbush blueberry,166774,Shrub Route,530-2009*A,Tree 4,1,42.30325355,-71.12108527,NA,283,1994,Vaccinium corymbosum
highbush blueberry,166775,Shrub Route,657-2008*A,Tree 5,1,42.30216796,-71.12054823,NA,542,1994,Vaccinium corymbosum
American witchhazel,166776,Shrub Route,22947*B,Tree 10,1,42.30000187,-71.1252044,8.2,539,2776,Hamamelis virginiana
American witchhazel,166777,Shrub Route,22947*C,Tree 11,1,42.29994906,-71.12512975,5.4,558,2776,Hamamelis virginiana
American witchhazel,166778,Shrub Route,493-2009*A,Tree 12,1,42.29979127,-71.12506756,7.6,529,2776,Hamamelis virginiana
American witchhazel,166779,Shrub Route,14693*A,Tree 13,1,42.29867372,-71.12325239,7.4,576,2776,Hamamelis virginiana
American witchhazel,166780,Shrub Route,14693*B,Tree 14,1,42.29865474,-71.12323151,9.2,574,2776,Hamamelis virginiana
possumhaw,169165,Shrub Route,593-2008*A,Tree 6,1,42.30184831,-71.12501015,NA,776,3743,Viburnum nudum
possumhaw,169166,Shrub Route,593-2008*B,Tree 7,1,42.30185115,-71.1249796,NA,760,3743,Viburnum nudum
possumhaw,169167,Shrub Route,593-2008*C,Tree 8,1,42.30182962,-71.12498215,NA,743,3743,Viburnum nudum
possumhaw,169168,Shrub Route,593-2008*D,Tree 9,1,42.30183491,-71.1249499,NA,808,3743,Viburnum nudum
