"scientific_names","year","bb_mean","flower_mean","fruit_mean","leafout_mean","col.leaves_mean","leafdrop_mean","flower_open_mean","flower_pollen_mean","fruit_ripe_mean","fruit_drop_mean"
"Acer rubrum",2018,NA,NA,NA,260,269,285,NA,NA,NA,NA
"Acer rubrum",2019,95,80,118,112,189,265,94,95,136,133
"Acer rubrum",2020,88,73,121,121,219,200,74,85,136,156
"Acer rubrum",2021,105,79,106,117,NA,NA,87,87,143,143
"Acer saccharum",2015,173,148,256,193,274,275,148,148,256,265
"Acer saccharum",2016,110,108,140,119,152,284,112,116,225,204
"Acer saccharum",2017,101,108,126,108,142,174,108,113,166,140
"Acer saccharum",2018,119,111,178,128,247,242,118,181,257,263
"Acer saccharum",2019,109,95,131,113,204,268,97,97,211,160
"Acer saccharum",2020,87,93,121,124,247,257,122,121,197,262
"Acer saccharum",2021,103,99,124,107,NA,NA,104,112,143,NA
"Aesculus flava",2015,NA,NA,185,157,213,246,NA,NA,258,255
"Aesculus flava",2016,102,112,145,110,187,189,115,NA,239,224
"Aesculus flava",2017,103,109,129,103,106,207,123,NA,229,189
"Aesculus flava",2018,115,110,141,97,186,188,127,NA,240,254
"Aesculus flava",2019,107,108,165,108,194,230,120,NA,227,219
"Aesculus flava",2020,110,113,149,112,175,204,135,NA,201,205
"Aesculus flava",2021,102,89,139,102,NA,NA,122,NA,NA,NA
"Betula alleghaniensis",2015,138,138,165,138,222,226,142,170,237,271
"Betula alleghaniensis",2016,102,82,123,114,114,240,111,114,147,197
"Betula alleghaniensis",2017,101,106,118,111,175,229,113,113,187,126
"Betula alleghaniensis",2018,114,90,126,122,245,245,121,116,193,223
"Betula alleghaniensis",2019,106,109,129,112,230,245,114,115,135,151
"Betula alleghaniensis",2020,85,85,112,101,212,214,111,121,155,196
"Betula alleghaniensis",2021,104,97,134,114,NA,NA,104,108,NA,NA
"Betula nigra",2015,139,138,160,138,204,213,138,138,166,162
"Betula nigra",2016,106,82,140,125,152,174,114,119,149,153
"Betula nigra",2017,97,109,110,113,180,197,113,113,155,126
"Betula nigra",2018,115,90,126,122,222,227,122,120,151,149
"Betula nigra",2019,108,108,126,116,200,202,117,118,136,143
"Betula nigra",2020,92,85,124,128,186,187,124,129,166,166
"Betula nigra",2021,111,106,134,122,134,NA,116,116,NA,NA
"Carya glabra",2015,150,150,156,151,NA,NA,150,150,NA,249
"Carya glabra",2016,114,129,153,125,280,282,135,146,210,227
"Carya glabra",2017,102,118,134,116,224,246,126,129,236,130
"Carya glabra",2018,112,127,149,123,253,259,131,167,206,217
"Carya glabra",2019,95,119,148,113,248,228,121,117,160,160
"Carya glabra",2020,112,106,166,128,226,226,142,158,227,221
"Carya glabra",2021,114,125,NA,120,NA,NA,133,136,NA,NA
"Carya ovata",2015,150,150,173,148,253,244,150,150,258,258
"Carya ovata",2016,122,135,161,131,274,292,141,142,256,200
"Carya ovata",2017,85,116,134,118,247,253,120,126,219,126
"Carya ovata",2018,115,124,141,122,253,237,125,140,207,215
"Carya ovata",2019,78,118,125,119,244,256,125,144,156,160
"Carya ovata",2020,65,98,167,133,231,233,141,151,218,188
"Carya ovata",2021,112,125,NA,124,NA,NA,141,139,NA,NA
"Fagus grandifolia",2015,125,125,311,125,292,311,125,NA,311,311
"Fagus grandifolia",2016,104,111,142,116,266,278,116,NA,248,252
"Fagus grandifolia",2017,104,111,141,114,221,257,117,NA,216,223
"Fagus grandifolia",2018,92,299,162,124,270,275,NA,NA,242,263
"Fagus grandifolia",2019,103,111,120,117,246,242,107,NA,151,166
"Fagus grandifolia",2020,58,141,203,67,268,274,129,NA,232,235
"Fagus grandifolia",2021,104,111,139,111,NA,NA,121,NA,NA,NA
"Hamamelis virginiana",2018,280,202,202,202,279,287,289,NA,294,338
"Hamamelis virginiana",2019,101,91,48,112,208,243,91,NA,48,48
"Hamamelis virginiana",2020,80,120,137,121,210,223,166,NA,266,266
"Hamamelis virginiana",2021,115,3,NA,115,NA,NA,3,NA,NA,NA
"Populus deltoides",2015,172,154,138,138,237,248,154,NA,150,150
"Populus deltoides",2016,108,101,121,121,141,236,107,148,155,153
"Populus deltoides",2017,94,105,149,85,85,85,109,109,171,170
"Populus deltoides",2018,116,85,130,118,238,169,123,144,152,178
"Populus deltoides",2019,114,108,123,127,218,208,113,149,152,155
"Populus deltoides",2020,104,101,123,126,212,230,117,119,148,154
"Populus deltoides",2021,114,108,125,125,NA,NA,112,120,NA,NA
"Quercus alba",2015,NA,NA,248,230,279,291,NA,NA,248,279
"Quercus alba",2016,116,132,254,127,253,286,135,142,282,275
"Quercus alba",2017,111,118,200,114,227,236,134,134,259,250
"Quercus alba",2018,122,123,195,124,236,260,135,135,259,248
"Quercus alba",2019,103,123,176,121,259,256,140,138,262,258
"Quercus alba",2020,120,127,254,199,281,281,NA,NA,NA,240
"Quercus alba",2021,116,126,NA,122,NA,NA,131,143,NA,NA
"Quercus rubra",2015,NA,NA,259,245,280,303,NA,NA,275,262
"Quercus rubra",2016,117,122,260,131,282,283,125,139,265,252
"Quercus rubra",2017,112,118,217,118,233,276,136,141,262,267
"Quercus rubra",2018,121,126,186,123,145,276,128,133,251,245
"Quercus rubra",2019,100,122,179,117,245,266,124,131,240,260
"Quercus rubra",2020,114,NA,255,221,299,305,NA,NA,264,265
"Quercus rubra",2021,118,NA,NA,131,NA,NA,NA,NA,NA,NA
"Tilia americana",2015,144,153,184,140,245,244,183,NA,220,225
"Tilia americana",2016,103,129,207,116,170,249,144,184,250,234
"Tilia americana",2017,93,123,152,99,172,174,140,200,207,216
"Tilia americana",2018,115,119,166,101,183,214,158,146,220,215
"Tilia americana",2019,105,142,128,115,206,221,169,186,143,196
"Tilia americana",2020,99,139,107,124,224,226,165,194,107,179
"Tilia americana",2021,111,131,NA,114,140,NA,NA,NA,NA,NA
"Vaccinium corymbosum",2018,NA,NA,213,202,278,291,NA,NA,218,NA
"Vaccinium corymbosum",2019,86,92,147,115,213,222,118,NA,184,206
"Vaccinium corymbosum",2020,79,79,151,114,239,273,122,NA,181,192
"Vaccinium corymbosum",2021,98,103,140,125,NA,NA,127,NA,NA,NA
"Viburnum nudum",2017,NA,NA,NA,335,335,NA,NA,NA,NA,NA
"Viburnum nudum",2018,185,225,192,188,289,300,229,NA,248,242
"Viburnum nudum",2019,87,104,167,104,202,259,150,NA,218,217
"Viburnum nudum",2020,83,85,161,101,242,177,143,NA,196,249
"Viburnum nudum",2021,92,99,NA,98,NA,NA,143,NA,NA,NA
